datetime,open,high,low,close,volume
2025-07-30 09:15:00,26749.9,26757.95,26673.95,26712.4,0
2025-07-30 09:18:00,26713.25,26718.2,26691.2,26693.4,0
2025-07-30 09:21:00,26693.75,26695.85,26676.2,26682.55,0
2025-07-30 09:24:00,26682.05,26683.0,26658.75,26661.9,0
2025-07-30 09:27:00,26662.15,26681.65,26662.05,26675.05,0
2025-07-30 09:30:00,26676.6,26696.95,26669.4,26686.2,0
2025-07-30 09:33:00,26686.5,26713.3,26682.8,26704.25,0
2025-07-30 09:36:00,26705.25,26724.5,26701.1,26712.15,0
2025-07-30 09:39:00,26712.45,26724.6,26706.2,26711.15,0
2025-07-30 09:42:00,26712.15,26726.0,26710.45,26723.3,0
2025-07-30 09:45:00,26724.3,26724.95,26697.1,26699.25,0
2025-07-30 09:48:00,26698.4,26699.95,26676.45,26681.4,0
2025-07-30 09:51:00,26681.45,26686.15,26668.6,26671.6,0
2025-07-30 09:54:00,26671.3,26698.15,26666.0,26696.3,0
2025-07-30 09:57:00,26695.8,26719.2,26695.8,26703.3,0
2025-07-30 10:00:00,26703.4,26706.4,26687.2,26690.25,0
2025-07-30 10:03:00,26689.3,26698.7,26684.4,26693.0,0
2025-07-30 10:06:00,26693.8,26694.45,26680.8,26685.65,0
2025-07-30 10:09:00,26685.45,26685.45,26668.8,26677.05,0
2025-07-30 10:12:00,26677.1,26696.35,26677.1,26692.2,0
2025-07-30 10:15:00,26691.75,26696.05,26679.0,26690.9,0
2025-07-30 10:18:00,26690.25,26699.8,26682.1,26683.5,0
2025-07-30 10:21:00,26688.0,26691.95,26674.1,26676.35,0
2025-07-30 10:24:00,26677.7,26685.25,26672.45,26672.9,0
2025-07-30 10:27:00,26674.35,26679.8,26665.8,26667.2,0
2025-07-30 10:30:00,26667.5,26683.4,26663.8,26682.7,0
2025-07-30 10:33:00,26682.35,26683.5,26666.75,26667.65,0
2025-07-30 10:36:00,26667.75,26671.3,26658.45,26659.2,0
2025-07-30 10:39:00,26660.0,26660.2,26639.05,26642.75,0
2025-07-30 10:42:00,26643.05,26664.4,26641.6,26648.6,0
2025-07-30 10:45:00,26650.1,26650.1,26613.55,26640.8,0
2025-07-30 10:48:00,26640.4,26653.9,26638.6,26651.7,0
2025-07-30 10:51:00,26651.65,26659.6,26649.9,26658.75,0
2025-07-30 10:54:00,26658.0,26665.2,26652.55,26654.1,0
2025-07-30 10:57:00,26653.95,26657.55,26651.2,26654.95,0
2025-07-30 11:00:00,26654.75,26659.8,26646.7,26659.55,0
2025-07-30 11:03:00,26660.35,26666.9,26646.7,26650.0,0
2025-07-30 11:06:00,26650.25,26651.1,26634.55,26647.9,0
2025-07-30 11:09:00,26647.5,26671.7,26647.05,26669.95,0
2025-07-30 11:12:00,26669.65,26681.3,26663.1,26680.7,0
2025-07-30 11:15:00,26680.0,26708.35,26680.0,26698.5,0
2025-07-30 11:18:00,26696.2,26714.55,26695.4,26704.9,0
2025-07-30 11:21:00,26705.1,26718.25,26704.8,26715.75,0
2025-07-30 11:24:00,26716.8,26724.15,26716.25,26721.15,0
2025-07-30 11:27:00,26720.2,26742.5,26714.9,26740.6,0
2025-07-30 11:30:00,26740.7,26740.7,26723.85,26733.25,0
2025-07-30 11:33:00,26733.55,26736.55,26724.05,26727.45,0
2025-07-30 11:36:00,26724.95,26728.6,26717.7,26720.3,0
2025-07-30 11:39:00,26720.55,26721.75,26677.7,26707.45,0
2025-07-30 11:42:00,26707.25,26719.75,26705.2,26715.05,0
2025-07-30 11:45:00,26712.65,26718.3,26701.7,26708.8,0
2025-07-30 11:48:00,26708.4,26718.15,26706.35,26715.75,0
2025-07-30 11:51:00,26716.05,26722.55,26711.4,26721.2,0
2025-07-30 11:54:00,26721.05,26729.3,26719.6,26725.65,0
2025-07-30 11:57:00,26725.3,26734.3,26721.4,26726.25,0
2025-07-30 12:00:00,26726.75,26728.45,26720.5,26721.75,0
2025-07-30 12:03:00,26721.5,26726.25,26710.9,26711.0,0
2025-07-30 12:06:00,26711.6,26717.05,26707.5,26713.7,0
2025-07-30 12:09:00,26713.55,26716.65,26701.25,26708.35,0
2025-07-30 12:12:00,26708.4,26710.35,26697.25,26700.6,0
2025-07-30 12:15:00,26701.05,26723.2,26698.2,26722.55,0
2025-07-30 12:18:00,26722.1,26729.85,26712.4,26723.4,0
2025-07-30 12:21:00,26723.9,26727.75,26719.6,26725.2,0
2025-07-30 12:24:00,26725.85,26730.55,26720.45,26725.3,0
2025-07-30 12:27:00,26723.8,26725.15,26711.25,26721.1,0
2025-07-30 12:30:00,26721.7,26729.55,26712.15,26714.95,0
2025-07-30 12:33:00,26714.85,26719.75,26710.15,26716.85,0
2025-07-30 12:36:00,26717.85,26722.55,26708.7,26713.9,0
2025-07-30 12:39:00,26711.2,26716.9,26705.75,26715.0,0
2025-07-30 12:42:00,26714.3,26715.25,26688.5,26693.25,0
2025-07-30 12:45:00,26693.2,26700.7,26686.65,26698.4,0
2025-07-30 12:48:00,26699.95,26702.8,26680.0,26687.7,0
2025-07-30 12:51:00,26685.9,26705.85,26685.4,26702.3,0
2025-07-30 12:54:00,26701.9,26717.3,26700.2,26707.65,0
2025-07-30 12:57:00,26707.25,26711.2,26701.15,26707.45,0
2025-07-30 13:00:00,26705.65,26712.4,26701.1,26708.9,0
2025-07-30 13:03:00,26706.75,26715.55,26704.3,26708.3,0
2025-07-30 13:06:00,26706.4,26709.4,26698.6,26704.0,0
2025-07-30 13:09:00,26703.85,26706.6,26693.45,26701.35,0
2025-07-30 13:12:00,26701.0,26701.3,26671.15,26689.0,0
2025-07-30 13:15:00,26688.6,26698.05,26687.35,26691.95,0
2025-07-30 13:18:00,26691.8,26696.65,26678.3,26680.2,0
2025-07-30 13:21:00,26680.3,26686.2,26675.3,26679.3,0
2025-07-30 13:24:00,26676.7,26692.95,26675.25,26691.05,0
2025-07-30 13:27:00,26689.5,26694.55,26680.55,26685.6,0
2025-07-30 13:30:00,26686.2,26698.95,26679.3,26696.8,0
2025-07-30 13:33:00,26698.7,26711.2,26695.1,26704.0,0
2025-07-30 13:36:00,26703.9,26714.6,26699.0,26709.05,0
2025-07-30 13:39:00,26709.65,26716.8,26707.85,26713.15,0
2025-07-30 13:42:00,26712.55,26715.3,26704.3,26705.25,0
2025-07-30 13:45:00,26707.85,26710.45,26688.75,26694.2,0
2025-07-30 13:48:00,26695.25,26702.0,26690.6,26690.75,0
2025-07-30 13:51:00,26695.65,26707.4,26687.75,26699.8,0
2025-07-30 13:54:00,26701.15,26709.65,26695.55,26701.9,0
2025-07-30 13:57:00,26702.0,26718.2,26697.95,26714.25,0
2025-07-30 14:00:00,26713.3,26721.5,26706.05,26713.4,0
2025-07-30 14:03:00,26712.8,26717.1,26700.05,26713.85,0
2025-07-30 14:06:00,26711.15,26716.6,26680.45,26683.1,0
2025-07-30 14:09:00,26681.0,26699.65,26681.0,26698.25,0
2025-07-30 14:12:00,26696.6,26702.3,26693.1,26696.9,0
2025-07-30 14:15:00,26695.3,26701.75,26687.55,26693.45,0
2025-07-30 14:18:00,26691.6,26696.9,26686.75,26688.75,0
2025-07-30 14:21:00,26687.65,26695.75,26682.45,26687.5,0
2025-07-30 14:24:00,26684.8,26704.15,26684.2,26700.4,0
2025-07-30 14:27:00,26700.45,26706.8,26692.7,26705.2,0
2025-07-30 14:30:00,26701.75,26708.55,26693.55,26707.8,0
2025-07-30 14:33:00,26707.55,26726.65,26703.55,26723.5,0
2025-07-30 14:36:00,26724.45,26724.45,26706.45,26707.7,0
2025-07-30 14:39:00,26712.35,26718.9,26700.6,26703.7,0
2025-07-30 14:42:00,26705.1,26708.95,26697.8,26703.55,0
2025-07-30 14:45:00,26701.7,26716.55,26701.1,26711.95,0
2025-07-30 14:48:00,26714.55,26717.55,26707.25,26713.35,0
2025-07-30 14:51:00,26712.85,26714.7,26705.15,26709.05,0
2025-07-30 14:54:00,26710.85,26714.25,26706.95,26706.95,0
2025-07-30 14:57:00,26710.6,26713.75,26704.5,26705.3,0
2025-07-30 15:00:00,26705.85,26718.75,26704.95,26711.85,0
2025-07-30 15:03:00,26715.6,26717.35,26707.55,26709.1,0
2025-07-30 15:06:00,26709.35,26712.35,26700.65,26701.7,0
2025-07-30 15:09:00,26702.85,26705.1,26695.75,26703.85,0
2025-07-30 15:12:00,26701.8,26706.3,26699.2,26703.85,0
2025-07-30 15:15:00,26705.35,26710.65,26698.9,26700.4,0
2025-07-30 15:18:00,26699.45,26705.1,26695.65,26698.2,0
2025-07-30 15:21:00,26698.55,26701.75,26690.35,26694.55,0
2025-07-30 15:24:00,26693.8,26698.35,26685.45,26690.2,0
2025-07-30 15:27:00,26686.35,26696.85,26673.7,26683.6,0
2025-07-31 09:15:00,26495.15,26604.65,26475.7,26545.1,0
2025-07-31 09:18:00,26546.8,26582.0,26541.25,26568.4,0
2025-07-31 09:21:00,26570.65,26594.45,26549.9,26572.0,0
2025-07-31 09:24:00,26572.7,26592.4,26555.25,26592.4,0
2025-07-31 09:27:00,26591.15,26602.75,26566.35,26570.5,0
2025-07-31 09:30:00,26569.2,26593.55,26555.25,26586.9,0
2025-07-31 09:33:00,26584.25,26592.45,26567.95,26575.05,0
2025-07-31 09:36:00,26575.7,26583.05,26565.0,26568.5,0
2025-07-31 09:39:00,26568.4,26584.05,26562.3,26572.0,0
2025-07-31 09:42:00,26574.45,26586.55,26567.65,26579.5,0
2025-07-31 09:45:00,26580.3,26584.75,26565.25,26568.05,0
2025-07-31 09:48:00,26566.75,26568.3,26548.95,26557.75,0
2025-07-31 09:51:00,26556.0,26568.0,26552.85,26563.4,0
2025-07-31 09:54:00,26565.15,26565.3,26558.9,26561.8,0
2025-07-31 09:57:00,26561.9,26562.2,26526.45,26538.8,0
2025-07-31 10:00:00,26536.75,26537.55,26481.05,26482.55,0
2025-07-31 10:03:00,26484.05,26498.6,26481.3,26490.25,0
2025-07-31 10:06:00,26491.55,26515.5,26489.25,26497.95,0
2025-07-31 10:09:00,26499.45,26508.9,26493.55,26503.1,0
2025-07-31 10:12:00,26503.7,26503.7,26490.6,26494.75,0
2025-07-31 10:15:00,26493.85,26512.0,26489.85,26496.65,0
2025-07-31 10:18:00,26495.45,26502.35,26463.75,26471.6,0
2025-07-31 10:21:00,26471.4,26482.65,26462.7,26474.15,0
2025-07-31 10:24:00,26475.6,26494.15,26474.85,26488.35,0
2025-07-31 10:27:00,26487.35,26502.7,26483.8,26490.4,0
2025-07-31 10:30:00,26489.8,26501.2,26480.9,26486.55,0
2025-07-31 10:33:00,26486.45,26489.3,26476.75,26481.2,0
2025-07-31 10:36:00,26481.8,26494.8,26471.9,26482.85,0
2025-07-31 10:39:00,26482.6,26494.9,26479.95,26493.2,0
2025-07-31 10:42:00,26492.9,26503.85,26488.15,26503.85,0
2025-07-31 10:45:00,26503.9,26522.85,26498.45,26521.1,0
2025-07-31 10:48:00,26519.9,26541.95,26519.75,26524.15,0
2025-07-31 10:51:00,26524.5,26532.3,26516.4,26522.45,0
2025-07-31 10:54:00,26524.4,26532.1,26517.6,26526.9,0
2025-07-31 10:57:00,26526.7,26527.55,26499.25,26524.8,0
2025-07-31 11:00:00,26526.1,26554.25,26525.25,26549.9,0
2025-07-31 11:03:00,26551.2,26587.6,26544.8,26583.9,0
2025-07-31 11:06:00,26581.4,26588.85,26565.0,26580.45,0
2025-07-31 11:09:00,26581.45,26587.5,26561.35,26562.35,0
2025-07-31 11:12:00,26561.35,26564.65,26550.5,26561.6,0
2025-07-31 11:15:00,26561.25,26565.7,26550.6,26561.3,0
2025-07-31 11:18:00,26561.35,26583.25,26555.6,26583.25,0
2025-07-31 11:21:00,26583.7,26591.95,26577.0,26584.05,0
2025-07-31 11:24:00,26583.85,26624.6,26583.2,26611.8,0
2025-07-31 11:27:00,26610.45,26624.8,26601.2,26606.4,0
2025-07-31 11:30:00,26606.45,26629.9,26603.85,26618.65,0
2025-07-31 11:33:00,26617.2,26655.35,26616.95,26628.65,0
2025-07-31 11:36:00,26628.2,26630.1,26614.4,26614.65,0
2025-07-31 11:39:00,26615.45,26636.4,26612.05,26634.25,0
2025-07-31 11:42:00,26633.75,26664.75,26633.75,26656.1,0
2025-07-31 11:45:00,26658.6,26687.85,26646.3,26685.2,0
2025-07-31 11:48:00,26685.1,26690.65,26672.75,26681.8,0
2025-07-31 11:51:00,26681.5,26689.7,26668.8,26678.0,0
2025-07-31 11:54:00,26680.7,26681.85,26665.85,26673.2,0
2025-07-31 11:57:00,26673.25,26676.95,26656.35,26666.15,0
2025-07-31 12:00:00,26666.35,26669.0,26638.25,26639.35,0
2025-07-31 12:03:00,26638.9,26639.5,26621.65,26634.55,0
2025-07-31 12:06:00,26634.1,26636.5,26604.1,26611.7,0
2025-07-31 12:09:00,26611.8,26658.5,26610.45,26656.8,0
2025-07-31 12:12:00,26657.15,26694.55,26655.0,26693.0,0
2025-07-31 12:15:00,26692.35,26716.15,26688.95,26693.25,0
2025-07-31 12:18:00,26691.7,26712.05,26691.0,26709.85,0
2025-07-31 12:21:00,26709.15,26731.15,26702.35,26722.55,0
2025-07-31 12:24:00,26723.95,26730.8,26711.2,26714.1,0
2025-07-31 12:27:00,26713.15,26713.15,26696.6,26697.4,0
2025-07-31 12:30:00,26697.75,26707.8,26693.05,26701.15,0
2025-07-31 12:33:00,26703.4,26754.7,26697.25,26750.45,0
2025-07-31 12:36:00,26749.45,26776.25,26743.4,26770.45,0
2025-07-31 12:39:00,26773.4,26773.65,26746.2,26762.35,0
2025-07-31 12:42:00,26763.35,26767.75,26731.25,26751.8,0
2025-07-31 12:45:00,26752.0,26766.35,26741.95,26754.1,0
2025-07-31 12:48:00,26755.5,26782.15,26746.0,26779.25,0
2025-07-31 12:51:00,26779.7,26787.8,26771.1,26780.6,0
2025-07-31 12:54:00,26780.05,26783.15,26771.35,26782.5,0
2025-07-31 12:57:00,26779.85,26806.6,26778.05,26793.65,0
2025-07-31 13:00:00,26794.0,26809.5,26785.8,26804.5,0
2025-07-31 13:03:00,26803.25,26806.15,26782.2,26797.3,0
2025-07-31 13:06:00,26796.5,26800.2,26785.35,26791.55,0
2025-07-31 13:09:00,26790.7,26811.05,26786.8,26810.6,0
2025-07-31 13:12:00,26811.1,26826.6,26794.35,26796.7,0
2025-07-31 13:15:00,26795.6,26808.75,26791.6,26803.5,0
2025-07-31 13:18:00,26802.45,26820.45,26800.35,26809.25,0
2025-07-31 13:21:00,26808.3,26822.3,26804.75,26808.45,0
2025-07-31 13:24:00,26807.95,26814.45,26792.7,26814.4,0
2025-07-31 13:27:00,26814.8,26836.15,26814.8,26834.3,0
2025-07-31 13:30:00,26832.9,26844.35,26817.05,26832.1,0
2025-07-31 13:33:00,26831.75,26837.45,26826.45,26831.25,0
2025-07-31 13:36:00,26828.6,26844.65,26825.65,26838.75,0
2025-07-31 13:39:00,26837.7,26839.4,26814.55,26816.1,0
2025-07-31 13:42:00,26812.85,26814.85,26797.8,26804.05,0
2025-07-31 13:45:00,26804.35,26821.5,26797.95,26807.9,0
2025-07-31 13:48:00,26808.0,26808.2,26794.45,26799.85,0
2025-07-31 13:51:00,26799.75,26809.15,26793.9,26793.9,0
2025-07-31 13:54:00,26793.75,26800.9,26786.8,26800.3,0
2025-07-31 13:57:00,26800.5,26822.8,26796.0,26803.1,0
2025-07-31 14:00:00,26802.85,26815.05,26799.25,26813.55,0
2025-07-31 14:03:00,26815.35,26822.35,26806.5,26821.3,0
2025-07-31 14:06:00,26821.45,26840.65,26818.6,26837.85,0
2025-07-31 14:09:00,26836.9,26837.5,26822.8,26834.75,0
2025-07-31 14:12:00,26835.3,26837.7,26805.45,26810.05,0
2025-07-31 14:15:00,26809.6,26812.15,26792.25,26795.45,0
2025-07-31 14:18:00,26794.1,26809.6,26785.5,26791.65,0
2025-07-31 14:21:00,26789.5,26800.25,26782.05,26788.4,0
2025-07-31 14:24:00,26787.45,26791.0,26754.75,26765.0,0
2025-07-31 14:27:00,26763.8,26778.05,26742.55,26747.3,0
2025-07-31 14:30:00,26745.05,26746.8,26718.0,26739.2,0
2025-07-31 14:33:00,26740.35,26765.45,26735.45,26748.15,0
2025-07-31 14:36:00,26746.75,26786.35,26739.05,26784.5,0
2025-07-31 14:39:00,26785.7,26787.2,26747.9,26748.25,0
2025-07-31 14:42:00,26749.85,26776.75,26746.05,26765.9,0
2025-07-31 14:45:00,26764.2,26769.3,26724.75,26730.95,0
2025-07-31 14:48:00,26731.5,26746.4,26719.65,26736.9,0
2025-07-31 14:51:00,26735.3,26741.1,26720.45,26738.2,0
2025-07-31 14:54:00,26736.5,26737.0,26709.35,26728.3,0
2025-07-31 14:57:00,26727.05,26745.15,26720.1,26727.2,0
2025-07-31 15:00:00,26727.8,26727.8,26671.05,26681.15,0
2025-07-31 15:03:00,26680.45,26681.7,26661.55,26666.0,0
2025-07-31 15:06:00,26665.55,26665.9,26653.8,26657.95,0
2025-07-31 15:09:00,26658.35,26678.2,26636.8,26666.5,0
2025-07-31 15:12:00,26668.15,26676.05,26634.4,26646.95,0
2025-07-31 15:15:00,26646.6,26650.85,26632.3,26636.95,0
2025-07-31 15:18:00,26637.75,26646.15,26629.25,26633.35,0
