datetime,open,high,low,close,volume
2025-07-30 09:15:00,81594.52,81618.96,81313.25,81435.06,0
2025-07-30 09:18:00,81436.09,81491.95,81384.79,81452.42,0
2025-07-30 09:21:00,81452.61,81452.61,81383.83,81404.15,0
2025-07-30 09:24:00,81401.6,81415.91,81348.85,81359.92,0
2025-07-30 09:27:00,81360.32,81373.65,81343.51,81370.57,0
2025-07-30 09:30:00,81371.08,81441.66,81366.77,81410.61,0
2025-07-30 09:33:00,81410.68,81487.76,81405.5,81451.3,0
2025-07-30 09:36:00,81453.51,81531.87,81451.54,81495.02,0
2025-07-30 09:39:00,81494.85,81508.65,81458.96,81464.02,0
2025-07-30 09:42:00,81461.11,81515.05,81461.11,81515.05,0
2025-07-30 09:45:00,81514.28,81517.59,81413.17,81415.16,0
2025-07-30 09:48:00,81420.38,81421.06,81345.99,81351.4,0
2025-07-30 09:51:00,81351.1,81373.74,81320.53,81325.3,0
2025-07-30 09:54:00,81324.26,81384.16,81307.27,81381.83,0
2025-07-30 09:57:00,81382.19,81435.94,81377.76,81386.35,0
2025-07-30 10:00:00,81385.65,81385.89,81355.74,81374.14,0
2025-07-30 10:03:00,81372.89,81403.11,81368.13,81391.01,0
2025-07-30 10:06:00,81391.4,81413.99,81375.31,81397.17,0
2025-07-30 10:09:00,81398.08,81406.25,81363.28,81365.72,0
2025-07-30 10:12:00,81376.22,81419.93,81376.22,81405.87,0
2025-07-30 10:15:00,81405.49,81428.03,81381.96,81423.75,0
2025-07-30 10:18:00,81430.25,81451.18,81426.51,81439.05,0
2025-07-30 10:21:00,81438.96,81447.48,81383.24,81383.24,0
2025-07-30 10:24:00,81382.71,81390.3,81345.68,81347.66,0
2025-07-30 10:27:00,81348.84,81351.03,81303.28,81306.45,0
2025-07-30 10:30:00,81306.89,81353.74,81296.2,81346.25,0
2025-07-30 10:33:00,81352.06,81362.21,81315.91,81330.35,0
2025-07-30 10:36:00,81327.89,81336.41,81296.03,81301.04,0
2025-07-30 10:39:00,81300.56,81300.65,81238.5,81241.89,0
2025-07-30 10:42:00,81242.75,81300.92,81241.88,81270.24,0
2025-07-30 10:45:00,81267.17,81267.88,81187.06,81248.89,0
2025-07-30 10:48:00,81250.77,81299.96,81245.04,81296.41,0
2025-07-30 10:51:00,81296.82,81323.88,81296.82,81314.68,0
2025-07-30 10:54:00,81314.36,81343.7,81305.0,81320.47,0
2025-07-30 10:57:00,81318.91,81335.36,81311.47,81323.67,0
2025-07-30 11:00:00,81326.6,81343.45,81294.8,81342.7,0
2025-07-30 11:03:00,81345.77,81357.93,81307.05,81311.47,0
2025-07-30 11:06:00,81309.28,81336.03,81293.66,81333.07,0
2025-07-30 11:09:00,81331.12,81365.87,81315.73,81361.7,0
2025-07-30 11:12:00,81360.44,81414.97,81342.87,81414.82,0
2025-07-30 11:15:00,81417.26,81505.59,81412.39,81496.12,0
2025-07-30 11:18:00,81496.47,81533.95,81478.57,81518.04,0
2025-07-30 11:21:00,81520.49,81558.1,81518.44,81543.8,0
2025-07-30 11:24:00,81542.01,81554.68,81530.1,81543.58,0
2025-07-30 11:27:00,81543.12,81605.02,81530.65,81594.33,0
2025-07-30 11:30:00,81593.27,81605.09,81561.92,81575.39,0
2025-07-30 11:33:00,81577.31,81584.01,81540.45,81547.56,0
2025-07-30 11:36:00,81546.51,81574.56,81532.58,81548.36,0
2025-07-30 11:39:00,81548.72,81551.21,81429.3,81497.84,0
2025-07-30 11:42:00,81496.27,81519.82,81492.16,81506.62,0
2025-07-30 11:45:00,81505.98,81511.46,81464.36,81490.47,0
2025-07-30 11:48:00,81492.39,81497.64,81478.41,81495.3,0
2025-07-30 11:51:00,81500.66,81511.41,81476.26,81506.39,0
2025-07-30 11:54:00,81512.56,81542.39,81506.41,81538.91,0
2025-07-30 11:57:00,81541.48,81561.24,81528.46,81537.39,0
2025-07-30 12:00:00,81531.76,81547.09,81510.74,81520.98,0
2025-07-30 12:03:00,81517.52,81528.09,81498.67,81499.11,0
2025-07-30 12:06:00,81500.62,81505.88,81488.19,81496.58,0
2025-07-30 12:09:00,81495.44,81502.02,81471.46,81489.22,0
2025-07-30 12:12:00,81488.76,81492.22,81446.27,81451.39,0
2025-07-30 12:15:00,81451.5,81515.96,81450.56,81514.14,0
2025-07-30 12:18:00,81513.78,81539.02,81500.82,81510.41,0
2025-07-30 12:21:00,81516.07,81529.93,81509.25,81525.04,0
2025-07-30 12:24:00,81523.66,81532.53,81516.47,81525.71,0
2025-07-30 12:27:00,81520.28,81526.82,81494.79,81514.16,0
2025-07-30 12:30:00,81516.24,81537.48,81490.53,81508.28,0
2025-07-30 12:33:00,81509.76,81516.59,81483.02,81507.97,0
2025-07-30 12:36:00,81507.06,81518.55,81490.59,81517.05,0
2025-07-30 12:39:00,81516.35,81530.33,81496.91,81530.33,0
2025-07-30 12:42:00,81529.63,81529.63,81479.62,81485.17,0
2025-07-30 12:45:00,81485.95,81505.68,81473.12,81505.68,0
2025-07-30 12:48:00,81504.0,81510.0,81473.37,81491.91,0
2025-07-30 12:51:00,81495.13,81520.8,81488.86,81516.09,0
2025-07-30 12:54:00,81513.04,81549.09,81510.08,81536.45,0
2025-07-30 12:57:00,81534.39,81538.78,81507.46,81512.96,0
2025-07-30 13:00:00,81513.05,81529.12,81502.2,81521.43,0
2025-07-30 13:03:00,81522.03,81537.11,81513.53,81528.47,0
2025-07-30 13:06:00,81527.39,81539.91,81513.11,81514.56,0
2025-07-30 13:09:00,81515.06,81521.65,81482.04,81502.26,0
2025-07-30 13:12:00,81503.14,81503.14,81419.15,81455.71,0
2025-07-30 13:15:00,81461.27,81485.26,81454.84,81464.61,0
2025-07-30 13:18:00,81465.79,81476.38,81436.8,81440.24,0
2025-07-30 13:21:00,81442.3,81444.24,81409.12,81425.7,0
2025-07-30 13:24:00,81426.4,81446.57,81418.69,81440.94,0
2025-07-30 13:27:00,81442.01,81448.38,81420.0,81429.01,0
2025-07-30 13:30:00,81427.07,81450.63,81414.01,81448.5,0
2025-07-30 13:33:00,81450.59,81487.05,81450.59,81472.14,0
2025-07-30 13:36:00,81470.62,81513.27,81466.71,81497.63,0
2025-07-30 13:39:00,81496.37,81512.63,81491.57,81504.27,0
2025-07-30 13:42:00,81505.54,81530.56,81500.21,81519.96,0
2025-07-30 13:45:00,81520.01,81537.28,81496.92,81499.87,0
2025-07-30 13:48:00,81498.08,81513.05,81493.36,81497.95,0
2025-07-30 13:51:00,81492.54,81506.13,81474.5,81503.64,0
2025-07-30 13:54:00,81503.01,81512.43,81489.64,81510.16,0
2025-07-30 13:57:00,81509.56,81529.23,81501.83,81525.32,0
2025-07-30 14:00:00,81528.13,81550.12,81514.47,81519.34,0
2025-07-30 14:03:00,81521.77,81558.92,81517.31,81551.39,0
2025-07-30 14:06:00,81551.33,81558.93,81477.57,81477.99,0
2025-07-30 14:09:00,81476.2,81522.65,81476.2,81521.18,0
2025-07-30 14:12:00,81519.92,81528.23,81502.26,81511.43,0
2025-07-30 14:15:00,81511.16,81522.21,81489.88,81496.45,0
2025-07-30 14:18:00,81498.59,81506.39,81481.22,81499.9,0
2025-07-30 14:21:00,81500.53,81505.04,81487.84,81498.9,0
2025-07-30 14:24:00,81495.85,81538.89,81485.96,81533.74,0
2025-07-30 14:27:00,81532.08,81564.69,81528.17,81561.47,0
2025-07-30 14:30:00,81564.94,81580.16,81553.79,81579.99,0
2025-07-30 14:33:00,81583.4,81608.88,81570.43,81602.86,0
2025-07-30 14:36:00,81603.23,81604.17,81561.99,81564.95,0
2025-07-30 14:39:00,81566.35,81588.84,81565.34,81578.96,0
2025-07-30 14:42:00,81579.08,81583.0,81546.68,81551.89,0
2025-07-30 14:45:00,81550.54,81564.85,81536.59,81562.8,0
2025-07-30 14:48:00,81563.38,81571.11,81523.47,81541.06,0
2025-07-30 14:51:00,81541.76,81545.45,81517.98,81529.4,0
2025-07-30 14:54:00,81533.05,81540.89,81506.48,81509.24,0
2025-07-30 14:57:00,81510.45,81513.86,81481.3,81485.62,0
2025-07-30 15:00:00,81483.26,81523.72,81483.26,81520.26,0
2025-07-30 15:03:00,81515.29,81524.46,81506.04,81520.39,0
2025-07-30 15:06:00,81520.98,81522.89,81500.1,81503.04,0
2025-07-30 15:09:00,81502.81,81502.81,81470.23,81501.34,0
2025-07-30 15:12:00,81500.95,81505.74,81480.96,81499.42,0
2025-07-30 15:15:00,81499.64,81505.08,81477.99,81487.27,0
2025-07-30 15:18:00,81485.5,81495.95,81466.73,81478.86,0
2025-07-30 15:21:00,81481.89,81489.81,81450.3,81475.39,0
2025-07-30 15:24:00,81475.81,81478.32,81454.0,81464.5,0
2025-07-30 15:27:00,81465.73,81480.11,81439.41,81464.4,0
2025-07-31 09:15:00,80695.5,80973.67,80695.15,80840.57,0
2025-07-31 09:18:00,80832.97,81016.45,80827.71,80993.04,0
2025-07-31 09:21:00,80996.78,81050.83,80928.09,81011.66,0
2025-07-31 09:24:00,81013.17,81026.98,80930.89,80977.33,0
2025-07-31 09:27:00,80979.78,81027.33,80979.78,80990.25,0
2025-07-31 09:30:00,80981.32,81006.35,80940.37,80997.42,0
2025-07-31 09:33:00,80997.36,80999.57,80941.67,80954.98,0
2025-07-31 09:36:00,80953.19,80955.49,80915.85,80916.61,0
2025-07-31 09:39:00,80916.57,80969.59,80904.9,80964.07,0
2025-07-31 09:42:00,80962.49,80975.02,80943.81,80973.22,0
2025-07-31 09:45:00,80973.39,80978.03,80946.1,80946.1,0
2025-07-31 09:48:00,80949.01,80969.38,80931.98,80938.88,0
2025-07-31 09:51:00,80938.5,80983.73,80937.52,80976.15,0
2025-07-31 09:54:00,80975.24,80985.59,80960.43,80984.52,0
2025-07-31 09:57:00,80984.33,80987.66,80934.47,80944.8,0
2025-07-31 10:00:00,80943.73,80943.73,80825.69,80826.74,0
2025-07-31 10:03:00,80822.51,80854.08,80813.57,80851.13,0
